key,originalName,tags
EGY-711B65091897-803B92878844-X-8199886,‘Izbat Aḩmad aş Şaftā,"{'alt_name': 'السملاوية', 'int_name': 'El-Similâwîya, Al Similawiya', 'name': 'السملاوية', 'name:ar': 'السملاوية', 'name:ar1': 'السملاوية', 'name:de': 'Al Similawiya', 'name:en': 'Al Similawiya', 'name:fr': 'Al Similawiya', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'name': 'منفلوط', 'name:ar': 'منفلوط', 'name:cs': 'Manfalút', 'name:de': 'Manfalut', 'name:en': 'Monfalut', 'name:fr': 'Manfalut', 'name:he': 'מנפלוט', 'name:it': 'Manfalut', 'name:ka': 'მანფალუტი', 'name:kk': 'Манфалут', 'name:ko': '만팔루트', 'name:mg': 'Manfalūţ', 'name:pl': 'Manfalut', 'name:ru': 'Манфалут', 'name:sv': 'Manfalut', 'name:vi': 'Manfalut', 'name:zh': '曼費盧特', 'place': 'village', 'wikidata': 'Q556095', 'wikipedia': 'en:Manfalut'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'كوم بوها العبيد', 'int_name': 'Kôm Bûha el ‘Abîd, Kom Buha al Abid', 'name': 'كوم بوها العبيد', 'name:ar': 'كوم بوها العبيد', 'name:ar1': 'كوم بوها العبيد', 'name:de': 'Kom Buha al Abid', 'name:en': 'Kom Buha al Abid', 'name:fr': 'Kom Buha al Abid', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'جمريس', 'int_name': 'Jimrīs, Jimris', 'name': 'جمريس', 'name:ar': 'شارع الجيش منزل شعبان مرعي عمر', 'name:ar1': 'جمريس', 'name:de': 'Jimris', 'name:en': 'Jimris', 'name:fr': 'Jimris', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'الشنابلة', 'int_name': 'Ash Shanābilah, Al Shanabilah', 'name': 'الشنابلة', 'name:ar': 'الشنابلة', 'name:ar1': 'الشنابلة', 'name:de': 'Al Shanabilah', 'name:en': 'Al Shanabilah', 'name:fr': 'Al Shanabilah', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'كوم المنصورة', 'int_name': 'Kom el Mansûra, Kom al Mansura', 'name': 'كوم المنصورة', 'name:ar': 'كوم المنصورة', 'name:ar1': 'كوم المنصورة', 'name:de': 'Kom al Mansura', 'name:en': 'Kom al Mansura', 'name:fr': 'Kom al Mansura', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'بني محمديات', 'int_name': 'Beni Mûḥammadîyât, Beni Muhammadiyat', 'name': 'بني محمديات', 'name:ar': 'بني محمديات', 'name:ar1': 'بني محمديات', 'name:de': 'Beni Muhammadiyat', 'name:en': 'Beni Muhammadiyat', 'name:fr': 'Beni Muhammadiyat', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'الحساني', 'int_name': 'El Ḥassâni, Al Hassani', 'name': 'الحساني', 'name:ar': 'الحساني', 'name:ar1': 'الحساني', 'name:de': 'Al Hassani', 'name:en': 'Al Hassani', 'name:fr': 'Al Hassani', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'نجع لبو', 'int_name': 'Nag‘ Labw, Nag Labw', 'name': 'نجع لبو', 'name:ar': 'نجع لبو', 'name:ar1': 'نجع لبو', 'name:de': 'Nag Labw', 'name:en': 'Nag Labw', 'name:fr': 'Nag Labw', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'بني حسين', 'int_name': 'Beni Ḥûsein, Beni Husein', 'name': 'بني حسين', 'name:ar': 'بني حسين', 'name:ar1': 'بني حسين', 'name:de': 'Beni Husein', 'name:en': 'Beni Husein', 'name:fr': 'Beni Husein', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'نجع العساوية', 'int_name': 'Nag‘ el ‘Isâwîya, Nag al Isawiya', 'name': 'نجع العساوية', 'name:ar': 'نجع العساوية', 'name:ar1': 'نجع العساوية', 'name:de': 'Nag al Isawiya', 'name:en': 'Nag al Isawiya', 'name:fr': 'Nag al Isawiya', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'سراوة', 'int_name': 'Sarâwa, Sarawa', 'name': 'سراوة', 'name:ar': 'سراوة', 'name:ar1': 'سراوة', 'name:de': 'Sarawa', 'name:en': 'Sarawa', 'name:fr': 'Sarawa', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'بني مجد', 'int_name': 'Banī Majd, Bani Majd', 'name': 'بني مجد', 'name:ar': 'بني مجد', 'name:ar1': 'بني مجد', 'name:de': 'Bani Majd', 'name:en': 'Bani Majd', 'name:fr': 'Bani Majd', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'الهدايا', 'int_name': 'El Hadâya, Al Hadaya', 'name': 'الهدايا', 'name:ar': 'الهدايا', 'name:ar1': 'الهدايا', 'name:de': 'Al Hadaya', 'name:en': 'Al Hadaya', 'name:fr': 'Al Hadaya', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'مسرع', 'int_name': 'Masra‘, Masra', 'name': 'مسرع', 'name:ar': 'مسرع', 'name:ar1': 'مسرع', 'name:de': 'Masra', 'name:en': 'Masra', 'name:fr': 'Masra', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'سوكرة', 'int_name': 'Sûkkara, Sukkara', 'name': 'سوكرة', 'name:ar': 'سوكرة', 'name:ar1': 'سوكرة', 'name:de': 'Sukkara', 'name:en': 'Sukkara', 'name:fr': 'Sukkara', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'البؤرة', 'int_name': 'Al Bu’rah, Al Burah', 'name': 'البؤرة', 'name:ar': 'البؤرة', 'name:ar1': 'البؤرة', 'name:de': 'Al Burah', 'name:en': 'Al Burah', 'name:fr': 'Al Burah', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'علوان', 'int_name': '‘Ilwān, Ilwan', 'name': 'علوان', 'name:ar': 'علوان', 'name:ar1': 'علوان', 'name:de': 'Ilwan', 'name:en': 'Ilwan', 'name:fr': 'Ilwan', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'نزلة الشريفة', 'int_name': 'Nazlet el Shirîfa, Nazlet al Shirifa', 'name': 'نزلة الشريفة', 'name:ar': 'نزلة الشريفة', 'name:ar1': 'نزلة الشريفة', 'name:de': 'Nazlet al Shirifa', 'name:en': 'Nazlet al Shirifa', 'name:fr': 'Nazlet al Shirifa', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'بني عدي', 'int_name': 'Beni ‘Adi, Beni Adi', 'name': 'بني عدي', 'name:ar': 'بني عدي', 'name:ar1': 'بني عدي', 'name:de': 'Beni Adi', 'name:en': 'Beni Adi', 'name:fr': 'Beni Adi', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'العزية', 'int_name': 'Al ‘Izzīyah, Al Izziyah', 'name': 'العزية', 'name:ar': 'العزية', 'name:ar1': 'العزية', 'name:de': 'Al Izziyah', 'name:en': 'Al Izziyah', 'name:fr': 'Al Izziyah', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'alt_name': 'بني عدي القبلية', 'int_name': 'Banī ‘Adī al Qiblīyah, Bani Adi al Qibliyah', 'name': 'بني عدي القبلية', 'name:ar': 'بني عدي القبلية', 'name:ar1': 'بني عدي القبلية', 'name:de': 'Bani Adi al Qibliyah', 'name:en': 'Bani Adi al Qibliyah', 'name:fr': 'Bani Adi al Qibliyah', 'place': 'village'}"
EGY-711B38941206-803B27828191-X-359274,Banī ‘Udayy al Baḩrīyah,"{'int_name': 'Al ‘Udar', 'place': 'village'}"
EGY-711B82469511-803B58703845-X-352843,Minyat Sulţān,"{'alt_name': 'كفر قنديل', 'int_name': 'Kafr Qindīl, Kafr Qindil', 'name': 'كفر قنديل', 'name:ar': 'كفر قنديل', 'name:ar1': 'كفر قنديل', 'name:de': 'Kafr Qindil', 'name:en': 'Kafr Qindil', 'name:fr': 'Kafr Qindil', 'place': 'village'}"
EGY-711B82469511-803B58703845-X-352843,Minyat Sulţān,"{'alt_name': 'منية سلطان', 'int_name': 'Minyat Sulţān, Minyat Sultan', 'name': 'منية سلطان', 'name:ar': 'منية سلطان', 'name:ar1': 'منية سلطان', 'name:de': 'Minyat Sultan', 'name:en': 'Minyat Sultan', 'name:fr': 'Minyat Sultan', 'place': 'village'}"
EGY-711B20348427-803B82736701-X-443383,Al Wafāyidah,"{'alt_name': 'الوفايدة', 'int_name': 'Al Wafāydah, Al Wafaydah', 'name': 'الوفايدة', 'name:ar': 'الوفايدة', 'name:ar1': 'الوفايدة', 'name:de': 'Al Wafaydah', 'name:en': 'Al Wafaydah', 'name:fr': 'Al Wafaydah', 'place': 'village'}"
EGY-711B94743502-803B55089427-X-360572,Al Qaţshah,"{'alt_name': 'القطشة', 'int_name': 'Al Qaţshah, Al Qatshah', 'name': 'القطشة', 'name:ar': 'القطشة', 'name:ar1': 'القطشة', 'name:de': 'Al Qatshah', 'name:en': 'Al Qatshah', 'name:fr': 'Al Qatshah', 'place': 'village'}"
EGY-711B65091897-803B5789133-X-354787,Kafr ad Daghāyidah,"{'alt_name': 'نحطاي', 'int_name': 'Nahṭâi, Nahtai', 'name': 'نحطاي', 'name:ar': 'نحطاي', 'name:ar1': 'نحطاي', 'name:de': 'Nahtai', 'name:en': 'Nahtai', 'name:fr': 'Nahtai', 'place': 'village'}"
EGY-711B31659985-803B20808037-X-346089,Zāwiyat Furayj,"{'alt_name': 'زاوية فريج', 'int_name': 'Zâwyet Fireig, Zawyet Fireig, Zawyet Fureig', 'name': 'زاوية فريج', 'name:ar': 'زاوية فريج', 'name:ar1': 'زاوية فريج', 'name:de': 'Zawyet Fireig', 'name:en': 'Zawyet Fireig', 'name:fr': 'Zawyet Fireig', 'place': 'village'}"
EGY-711B91250297-803B27603422-X-434279,‘Izbat Ḩasan Abū al Qāsim,"{'alt_name': 'عزبة الحمودات', 'int_name': '‘Izbat al Ḩamūdāt, Izbat al Hamudat', 'name': 'عزبة الحمودات', 'name:ar': 'عزبة الحمودات', 'name:ar1': 'عزبة الحمودات', 'name:de': 'Izbat al Hamudat', 'name:en': 'Izbat al Hamudat', 'name:fr': 'Izbat al Hamudat', 'place': 'village'}"
EGY-711B91250297-803B27603422-X-434279,‘Izbat Ḩasan Abū al Qāsim,"{'alt_name': 'عزبة حسن أبو القاسم', 'int_name': '‘Izbat Ḩasan Abū al Qāsim, Izbat Hasan Abu al Qasim', 'name': 'عزبة حسن أبو القاسم', 'name:ar': 'عزبة حسن أبو القاسم', 'name:ar1': 'عزبة حسن أبو القاسم', 'name:de': 'Izbat Hasan Abu al Qasim', 'name:en': 'Izbat Hasan Abu al Qasim', 'name:fr': 'Izbat Hasan Abu al Qasim', 'place': 'village'}"
EGY-711B78324068-803B58128383-X-361561,Al ‘Āqūlah,"{'alt_name': 'العاقولة', 'int_name': 'El-Âqûia, Al Aquia, Al Aqulah', 'name': 'العاقولة', 'name:ar': 'العاقولة', 'name:ar1': 'العاقولة', 'name:de': 'Al Aquia', 'name:en': 'Al Aquia', 'name:fr': 'Al Aquia', 'place': 'village'}"
EGY-711B78324068-803B58128383-X-361561,Al ‘Āqūlah,"{'alt_name': 'منشأة سلامة', 'int_name': 'Minshāt Salāmah, Minshat Salamah', 'name': 'منشأة سلامة', 'name:ar': 'منشأة سلامة', 'name:ar1': 'منشأة سلامة', 'name:de': 'Minshat Salamah', 'name:en': 'Minshat Salamah', 'name:fr': 'Minshat Salamah', 'place': 'village'}"
EGY-711B77996822-803B38565329-X-9087219,Sān Istifānū,"{'alt_name': 'الرمل', 'int_name': 'Er Raml, Al Raml', 'name': 'الرمل', 'name:ar': 'الرمل', 'name:ar1': 'الرمل', 'name:de': 'Al Raml', 'name:en': 'Al Raml', 'name:fr': 'Al Raml', 'place': 'hamlet'}"
EGY-711B94743502-803B82029201-X-421062,‘Izbat ar Rūdah,"{'alt_name': 'النسائمة', 'int_name': 'An Nasā’imah, An Nasaimah', 'name': 'النسائمة', 'name:ar': 'النسائمة', 'name:ar1': 'النسائمة', 'name:de': 'An Nasaimah', 'name:en': 'An Nasaimah', 'name:fr': 'An Nasaimah', 'place': 'village'}"
EGY-711B65091897-803B164937-X-354615,Kafr al Junaynah al Qiblī,"{'alt_name': 'كفر الجنينة القبلي', 'int_name': 'Kafr al Junaynah al Qiblī, Kafr al Junaynah al Qibli', 'name': 'كفر الجنينة القبلي', 'name:ar': 'كفر الجنينة القبلي', 'name:ar1': 'كفر الجنينة القبلي', 'name:de': 'Kafr al Junaynah al Qibli', 'name:en': 'Kafr al Junaynah al Qibli', 'name:fr': 'Kafr al Junaynah al Qibli', 'place': 'village'}"
EGY-711B31659985-803B55903609-X-415964,‘Izbat aş Şanādīdī,"{'alt_name': 'محلة بشر', 'int_name': 'Maḩallat Bishr, Mahallat Bishr', 'name': 'محلة بشر', 'name:ar': 'محلة بشر', 'name:ar1': 'محلة بشر', 'name:de': 'Mahallat Bishr', 'name:en': 'Mahallat Bishr', 'name:fr': 'Mahallat Bishr', 'place': 'village'}"
