key,en,fr,ar
EGY-711B82469511-803B58703845-X-352843,Minyat Sulţān,Minyat Sultan,منية سلطان
EGY-711B94743502-803B55089427-X-360572,Al Qaţshah,Al Qatshah,القطشة
EGY-711B91250297-803B27603422-X-434279,‘Izbat Ḩasan Abū al Qāsim,Izbat Hasan Abu al Qasim,عزبة حسن أبو القاسم
EGY-711B65091897-803B164937-X-354615,Kafr al Junaynah al Qiblī,Kafr al Junaynah al Qibli,كفر الجنينة القبلي
EGY-711B8184782-803B42158920-X-432900,‘Izbat an Nakhl,Izbat an Nakhl,عزبة النخل
EGY-711B8184782-803B75008137-X-352580,Mayyānah al Waqf,,
EGY-711B65091897-803B48057008-X-362911,Abū al Gharr,Abu al Gharr,أبو الغر
EGY-711B8184782-803B11123444-X-351677,Nag’ ‘Arab Abu Turaifiq,Nag Arab Abu Turaifiq,نجع عرب أبو تريفق
EGY-711B11452178-803B41478232-X-351639,Nag’ el-Ghâwiya,Nag al Ghawiya,نجع الغاوية
EGY-711B85270152-803B76830858-X-359409,Baharmis,Baharmis,بهرمس
EGY-711B20348427-803B3738028-X-420556,‘Izbat Mubāshir,Izbat Mubashir,عزبة مباشر
EGY-711B94743502-803B56464460-X-420607,Ūlīlah,Ulilah,أوليلة
EGY-711B94743502-803B56695528-X-354849,Kafr Abū Shawārib,Kafr Abu Shawarib,كفر أبو شوارب
EGY-711B78324068-803B58128383-X-357583,‘Izbat Bilāl,Izbat Bilal,عزبة بلال
EGY-711B20348427-803B82736701-X-409364,Jazīrat Su‘ūd,Jazirat Suud,جزيرة سعود
EGY-711B20348427-803B69972937-X-420601,‘Izbat Abū ‘Asākir,Izbat Abu Asakir,عزبة أبو عساكر
EGY-711B31659985-803B97676774-X-415878,‘Izbat al Barād‘ī,Izbat al Baradi,عزبة البرادعي
EGY-711B31659985-803B9720848-X-421658,Qaryat aş Şa‘āydah,Qaryat al Saaydah,قرية الصعايدة
EGY-711B91250297-803B27603422-X-434281,‘Izbat Khamīs Āghā,Izbat Khamis Agha,عزبة خميس آغا
EGY-711B82469511-803B6113781-X-361422,Al Barājīl,Al Barajil,البراجيل
EGY-711B94743502-803B11999299-X-354721,Kafr al Aţrash,Kafr al Atrash,كفر الأطرش
EGY-711B31659985-803B23314658-X-433927,Naj‘ ad Dabbābah,Naj al Dabbabah,نجع الدبابة
EGY-711B82469511-803B51394355-X-361560,Al Aqwāz,Al Aqwaz,الأقواز
EGY-711B31659985-803B55903609-X-415958,‘Izbat Abū Sa‘īd,Izbat Abu Said,عزبة أبو سعيد
EGY-711B87964482-803B58169402-X-349600,Sāqultah,Saqultah wa al Arab,ساقلتة و العرب
EGY-711B20348427-803B82736701-X-357363,‘Ezbet el-Yâwdi,Ezbet al Yawdi,عزبة الياوري
EGY-711B31659985-803B9720848-X-443417,Ash Shajā‘ah,Al Shajaah,الشجاعة
EGY-711B78324068-803B81487304-X-415627,‘Izbat Abū ‘Umar,Izbat Abu Umar,عزبة أبو عمر
EGY-711B82454923-803B68822300-X-351097,Nazlat Qufţān,Nazlat Quftan,نزلة قفطان
EGY-711B31659985-803B27533677-X-358125,Dirshāy,Dirshay,درشاي
EGY-711B85270152-803B90320774-X-354377,Kafr ‘Awn,Kafr Awn,كفر عون
EGY-711B78324068-803B29715502-X-419305,‘Izbat ash Shaykhah,Izbat al Shaykhah,عزبة الشيخة
EGY-711B17592462-803B9009159-X-357188,‘Izbat Muḩammad Rizq,Izbat Muhammad Rizq,عزبة محمد رزق
EGY-711B78324068-803B57124028-X-416197,‘Izbat ‘Abd Allāh al Wakīl,Izbat Abd Allah al Wakil,عزبة عبد الله الوكيل
EGY-711B82454923-803B72444447-X-349892,Şafţ al Khirsah,Saft al Khirsah,صفط الخرساء
EGY-711B20348427-803B38315410-X-354022,Kafr ‘Umar Kurdī,Zimam Kafr Umar Kurdi,زمام كفر عمر كردي
EGY-711B94743502-803B47624266-X-349841,Şahrajat aş Şughrá,Sahrajat al Sughra wa Kafr al Sayyid,صهرجت الصغرى و كفر السيد
