key,originalName,tags
AZE-794B30719080-110B12658402-X-586417,Hüseynxanlı,"{'name': 'Hüseynxanlı', 'name:az': 'Hüseynxanlı', 'name:ru': 'Гусейнханлы', 'place': 'village'}"
AZE-794B30719080-110B12658402-X-586417,Hüseynxanlı,"{'name': 'Xanməmmədli', 'name:az': 'Xanməmmədli', 'name:ru': 'Ханмамедли', 'place': 'village'}"
AZE-794B30719080-110B50193456-X-147787,Kherkhan,"{'name': 'Qayğı', 'name:az': 'Qayğı', 'place': 'village', 'wikidata': 'Q7267240', 'wikipedia': 'az:Qayğı'}"
AZE-794B30719080-110B63064995-X-586731,Dilanchilar,"{'name': 'Dilənçilər', 'name:az': 'Dilənçilər', 'place': 'village'}"
AZE-794B30719080-110B8355647-X-585215,Ragimli,"{'name': 'Rəhimli', 'name:az': 'Rəhimli', 'place': 'hamlet'}"
AZE-794B30719080-110B8355647-X-585215,Ragimli,"{'name': 'Şahbəyli', 'name:az': 'Şahbəyli', 'place': 'hamlet'}"
AZE-794B30719080-110B8343857-X-586220,Qaradağ,"{'description': 'Qaradağ (also, Karadag) is a village and municipality in the Gadabay Rayon of Azerbaijan.The municipality consists of the villages of Qaradağ and Daşbulaq (formerly, Qorelsk)', 'name': 'Qaradağ', 'name:az': 'Qaradağ', 'place': 'village', 'population': '1318', 'wikidata': 'Q4593736', 'wikipedia': 'az:Qaradağ (Gədəbəy)'}"
AZE-794B30719080-110B87506037-X-807231,Mughan,"{'name': 'Muğan', 'name:az': 'Muğan', 'name:ru': 'Муган', 'place': 'village'}"
AZE-794B30719080-110B87506037-X-807231,Mughan,"{'name': 'Meyniman', 'name:az': 'Meyniman', 'place': 'village'}"
AZE-794B30719080-110B87506037-X-807231,Mughan,"{'name': 'Birinci Meyniman', 'name:az': 'Birinci Meyniman', 'place': 'village'}"
AZE-794B30719080-110B51569828-X-148080,Gasankaydy,"{'name': 'Həsənqaydı', 'name:az': 'Həsənqaydı', 'place': 'village', 'population': '0', 'wikidata': 'Q5965350', 'wikipedia': 'en:Həsənqaydı'}"
AZE-794B30719080-110B83548263-X-585403,Nadzhafkend,"{'name': 'Gilah', 'name:az': 'Gilah', 'place': 'hamlet'}"
AZE-794B30719080-110B83548263-X-585403,Nadzhafkend,"{'name': 'Nəcəfkənd', 'name:az': 'Nəcəfkənd', 'place': 'hamlet'}"
AZE-794B30719080-110B38588730-X-147482,Mollabürhan,"{'int_name': 'Mollaburkhan', 'name': 'Mollabürhan', 'name:az': 'Mollabürhan', 'name:en': 'Mollaburkhan / Morajur', 'name:hy': 'Մորաջուր', 'name:ru': 'Моллабюрхан', 'place': 'village', 'population': '0'}"
AZE-794B30719080-110B38588730-X-147482,Mollabürhan,"{'name': 'Xocik', 'name:az': 'Xocik', 'place': 'village', 'wikidata': 'Q4858634', 'wikipedia': 'en:Xocik'}"
AZE-794B30719080-110B38641282-X-585955,Xaspoladoba,"{'name': 'Xaspoladoba', 'name:az': 'Xaspoladoba', 'place': 'hamlet'}"
AZE-794B30719080-110B51569828-X-147788,Hovuslu,"{'name': 'Hovuslu', 'name:az': 'Hovuslu', 'place': 'village', 'population': '0', 'wikidata': 'Q4667074', 'wikipedia': 'en:Havuslu'}"
AZE-794B30719080-110B24513103-X-147972,Iskenderli,"{'name': 'Kosagül', 'name:az': 'Kosagül', 'place': 'village'}"
AZE-794B30719080-110B71777131-X-8470913,Tezakend,"{'int_name': 'Nareshtar', 'name': 'Նարեշտար', 'name:az': 'Narınclar', 'name:en': 'Nareshtar', 'name:hy': 'Նարեշտար', 'name:ru': 'Нарештар', 'place': 'village'}"
AZE-794B30719080-110B71777131-X-8470913,Tezakend,"{'name': 'Թազակենդ', 'name:az': 'Təzəkənd', 'name:en': 'Tazakend', 'name:ru': 'Тазакенд', 'place': 'hamlet'}"
AZE-794B30719080-110B37610171-X-587018,Bazar,"{'name': 'Bazar', 'name:az': 'Bazar', 'name:ka': 'ბაზარი', 'place': 'hamlet'}"
AZE-794B30719080-110B37610171-X-587018,Bazar,"{'name': 'Qımır', 'name:az': 'Qımır', 'place': 'hamlet'}"
AZE-794B30719080-110B81491762-X-9512978,Shirvanmesha,"{'name': 'Şirvanmeşə', 'name:az': 'Şirvanmeşə', 'place': 'hamlet'}"
AZE-794B30719080-110B81491762-X-9512978,Shirvanmesha,"{'name': 'Çəmənli', 'name:az': 'Çəmənli', 'place': 'hamlet'}"
AZE-794B30719080-110B11465922-X-585701,Küçay,"{'name': 'Küçeyi', 'name:az': 'Küçeyi', 'place': 'village'}"
AZE-794B30719080-110B11281861-X-584974,Şıxlar,"{'name': 'Mürsəlli', 'name:az': 'Mürsəlli', 'place': 'village'}"
AZE-794B30719080-110B11281861-X-584974,Şıxlar,"{'name': 'Şıxlar', 'name:az': 'Şıxlar', 'place': 'village'}"
AZE-794B92798896-110B26290362-X-147272,Saltaq,"{'name': 'Saltaq', 'name:az': 'Saltaq', 'place': 'village', 'population': '1680'}"
AZE-794B30719080-110B11465922-X-587314,Alibeykyshlak,"{'name': 'Vladimirovka', 'name:az': 'Vladimirovka', 'name:ru': 'Владимировка', 'place': 'village'}"
AZE-794B30719080-110B11465922-X-587314,Alibeykyshlak,"{'name': 'Əlibəy Qışlaq', 'name:az': 'Əlibəy Qışlaq', 'place': 'hamlet'}"
AZE-794B30719080-110B53764935-X-146917,Yuxarı Velik,"{'name': 'Vılık', 'name:az': 'Vılık', 'place': 'hamlet'}"
AZE-794B30719080-110B95939995-X-585709,Qırıqlı,"{'name': 'Cümşüdlü', 'name:az': 'Cümşüdlü', 'place': 'village'}"
AZE-794B30719080-110B95939995-X-585709,Qırıqlı,"{'name': 'Qırıqlı', 'name:az': 'Qırıqlı', 'name:ru': 'Кырыклы', 'place': 'village'}"
AZE-794B30719080-110B68470327-X-148190,Dolanlar,"{'name': 'Dolanlar', 'name:az': 'Dolanlar', 'name:en': 'Dolanlar', 'name:hy': 'Արևշատ', 'place': 'village', 'wikidata': 'Q2860888'}"
AZE-794B30719080-110B68470327-X-148190,Dolanlar,"{'name': 'Söyüdlü', 'name:az': 'Söyüdlü', 'name:hy': 'Ուռենու', 'place': 'village', 'population': '0'}"
AZE-794B30719080-110B68470327-X-148190,Dolanlar,"{'name': 'Xanağabulaq', 'name:az': 'Xanağabulaq', 'name:hy': 'Խաղաղապատ', 'place': 'village', 'population': '0'}"
AZE-794B30719080-110B7279941-X-587178,Aşağı Kəldək,"{'name': 'Aşağı Kəldək', 'name:az': 'Aşağı Kəldək', 'place': 'hamlet'}"
AZE-794B30719080-110B11281861-X-586499,Gashimkhanly,"{'name': 'Həşimxanlı', 'name:az': 'Həşimxanlı', 'place': 'village'}"
AZE-794B30719080-110B11281861-X-586499,Gashimkhanly,"{'name': 'Ətcələr', 'name:az': 'Ətcələr', 'place': 'village'}"
AZE-794B30719080-110B84473682-X-584946,Sordzha,"{'name': 'Hacıbədəllı', 'name:az': 'Hacıbədəllı', 'place': 'village'}"
AZE-794B30719080-110B6001398-X-585954,Khatamlar,"{'description': 'Öskən (also, Öksən, Osgyan, and Oskyan) is a village in the Tovuz Rayon of Azerbaijan. The village forms part of the municipality of Qəribli', 'ele': '1099', 'name': 'Öskən', 'name:az': 'Öskən', 'place': 'village', 'wikidata': 'Q8079037', 'wikipedia': 'az:Öskən'}"
AZE-794B30719080-110B6001398-X-585954,Khatamlar,"{'description': 'Hətəmlər (also, Khatamalar and Khatamlar) is a village in the Tovuz Rayon of Azerbaijan. The village forms part of the municipality of Qəribli', 'ele': '1061 m', 'name': 'Hətəmlər', 'name:az': 'Hətəmlər', 'place': 'village', 'population': '143', 'wikidata': 'Q5965357', 'wikipedia': 'az:Hətəmlər (Tovuz)'}"
AZE-794B30719080-110B6001398-X-585954,Khatamlar,"{'description': 'Ağdərə (also, Agdere) is a village in the Tovuz Rayon of Azerbaijan. The village forms part of the municipality of İsakənd.', 'name': 'Ağdərə', 'name:az': 'Ağdərə', 'place': 'village', 'population': '300', 'wikidata': 'Q794712', 'wikipedia': 'az:Ağdərə'}"
AZE-794B30719080-110B63998168-X-587002,Beydavil,"{'is_in': 'Göyçay / Azərbaycan', 'name': 'Bəydövül', 'name:az': 'Bəydövül', 'place': 'village'}"
AZE-794B30719080-110B63998168-X-587002,Beydavil,"{'is_in': 'Göyçay / Azərbaycan', 'name': 'Çaxırlı', 'name:az': 'Çaxırlı', 'place': 'village'}"
AZE-794B30719080-110B6813230-X-585301,Ovçulu,"{'name': 'Ovçulu', 'name:az': 'Ovçulu', 'place': 'hamlet'}"
AZE-794B30719080-110B6813230-X-585301,Ovçulu,"{'name': 'Bağırlı', 'name:az': 'Bağırlı', 'place': 'hamlet'}"
AZE-794B30719080-110B7279941-X-584722,Vladimirovka,"{'name': 'Bəyli', 'place': 'hamlet'}"
AZE-794B30719080-110B7279941-X-584722,Vladimirovka,"{'alt_name': 'Vladimirovka', 'name': 'Çayqovuşan', 'place': 'hamlet'}"
