key,originalName,tags
ETH-566B60807721-737B73278158-843B15288353-329931,Ogara,"{'name': 'Akado', 'place': 'village'}"
ETH-566B94683490-737B92163709-843B47439046-333097,K’idamē Gebeya,"{'name': 'Cadami', 'place': 'village', 'source': 'GeoDatabase'}"
ETH-566B94683490-737B36823593-843B61463598-335953,Gorba,{'place': 'village'}
ETH-566B94683490-737B36823593-843B61463598-335953,Gorba,{'place': 'village'}
ETH-566B76784922-737B3849931-843B85980479-339602,Degan,"{'name': 'Degan', 'place': 'town'}"
ETH-566B90705179-737B40138866-843B20282723-6533837,Hamedila,"{'is_in': 'ET', 'is_in:country': 'Ethiopia', 'name': 'Hamedela', 'name:ko': '숙소', 'place': 'village'}"
ETH-566B94683490-737B12858189-843B87200155-344133,Āmara,"{'name': 'Kile', 'place': 'town', 'source': 'GeoDatabase'}"
ETH-566B94683490-737B12858189-843B87200155-344133,Āmara,"{'name': 'Amara Kucho', 'place': 'village'}"
ETH-566B95500806-737B25106143-843B50251646-7502338,Avudo,"{'name': 'Adwa', 'place': 'village'}"
ETH-566B94683490-737B21382859-843B89285525-330406,Mucha Roba,{'place': 'village'}
ETH-566B94683490-737B28884713-843B65464187-342760,Bantu,"{'name': 'Banitu', 'place': 'town'}"
ETH-566B94683490-737B79497513-843B35188960-337857,Felege Birhan,"{'name': 'Sire', 'place': 'town'}"
ETH-566B94683490-737B79497513-843B35188960-337857,Felege Birhan,{'place': 'village'}
ETH-566B76551908-737B23107757-843B35900220-337827,Ferate,"{'is_in:continent': 'Africa', 'is_in:country': 'Ethiopia', 'is_in:country_code': 'ET', 'name': ""Adeyle Babur T'Abiya"", 'place': 'village', 'source': 'GeoDatabase'}"
ETH-566B98245203-737B9506689-843B10692906-343651,Ārbē Gona,"{'is_in:continent': 'Africa', 'is_in:country': 'Ethiopia', 'is_in:country_code': 'ET', 'name': 'Arbe Gona', 'place': 'village', 'source': 'GeoDatabase'}"
ETH-566B98245203-737B9506689-843B10692906-343651,Ārbē Gona,"{'place': 'hamlet', 'source': 'Bing'}"
ETH-566B95500806-737B86961095-843B79979158-343190,Atzalo,{'place': 'village'}
ETH-566B76551908-737B91989337-843B3684271-342834,Balbalaiar,{'place': 'hamlet'}
ETH-566B94683490-737B79497513-843B74174962-329594,Robī,"{'name': 'Aleko', 'place': 'village'}"
ETH-566B94683490-737B32561811-843B66526861-334121,Int’ot’o,"{'name': 'Shufune', 'place': 'town'}"
ETH-566B76551908-737B36908725-843B27910727-337505,Gafīda,"{'is_in:continent': 'Africa', 'is_in:country_code': 'ET', 'is_in:county': 'Ethiopia', 'name': 'Danot', 'place': 'village', 'source': 'GeoDatabase'}"
ETH-566B76784922-737B73452966-843B41515616-343344,Āshenat,"{'name': 'Ashenat', 'place': 'town', 'source': 'GeoDatabase'}"
ETH-566B76784922-737B73452966-843B41515616-343344,Āshenat,{'place': 'village'}
