key,originalName,tags
JOR-632B67270147-343B92100815-X-7015873,Ţāsān,"{'int_name': 'Ţāsān; Tasan', 'is_in': 'Jordan, الأردن', 'name': 'طاسان', 'name:ar': 'طاسان', 'name:de': 'Tasan', 'name:en': 'Tasan', 'name:fr': 'Tasan', 'place': 'village'}"
JOR-632B97166968-343B76118434-X-250562,Al Manţarah,"{'name': 'مؤاب', 'place': 'village'}"
JOR-632B97166968-343B76118434-X-250562,Al Manţarah,"{'name': 'الفيصلية', 'place': 'village'}"
JOR-632B97166968-343B76118434-X-250562,Al Manţarah,"{'name': 'الخالدية', 'name:fr': 'Khalidiya', 'place': 'village'}"
JOR-632B98972752-343B93869049-X-249135,Manshīyat al ‘Ulyān,"{'int_name': 'Haiyan el-Roweibed; Haiyan al Roweibed; Hayyan al Ruwaybid; Haiyan al Ruweibid', 'is_in': 'Jordan, الأردن', 'name': 'حيان الرويبد', 'name:ar': 'حيان الرويبد', 'name:de': 'Haiyan al Roweibed', 'name:en': 'Haiyan al Roweibed', 'name:fr': 'Haiyan al Roweibed', 'place': 'village'}"
JOR-632B68275430-343B11419780-X-246146,Umm Shujayrah al Gharbīyah,"{'int_name': 'El Musheirife; Al Musheirife; Al Musheirfa', 'is_in': 'Jordan, الأردن', 'name': 'المشيرفة', 'name:ar': 'المشيرفة', 'name:de': 'Al Musheirife', 'name:en': 'Al Musheirife', 'name:fr': 'Al Musheirife', 'place': 'village'}"
JOR-632B68275430-343B11419780-X-246146,Umm Shujayrah al Gharbīyah,"{'int_name': 'Um Shojeire el Gharbiye; Um Shojeire al Gharbiye; Um Shajara; Um Shejeirat al Gharbiyeh', 'is_in': 'Jordan, الأردن', 'name': 'أم شجيرة الغربية', 'name:ar': 'أم شجيرة الغربية', 'name:de': 'Um Shojeire al Gharbiye', 'name:en': 'Um Shojeire al Gharbiye', 'name:fr': 'Um Shojeire al Gharbiye', 'place': 'village'}"
JOR-632B68275430-343B11419780-X-246146,Umm Shujayrah al Gharbīyah,"{'int_name': 'Rejeim Selim; Rujeim Selim', 'is_in': 'Jordan, الأردن', 'name': 'رجيم سليم', 'name:ar': 'رجيم سليم', 'name:de': 'Rejeim Selim', 'name:en': 'Rejeim Selim', 'name:fr': 'Rejeim Selim', 'place': 'village'}"
JOR-632B68275430-343B11419780-X-246146,Umm Shujayrah al Gharbīyah,"{'int_name': 'Qaryat Falḩah; Qaryat Falhah', 'name': 'قرية فلحة', 'name:ar': 'قرية فلحة', 'name:de': 'Qaryat Falhah', 'name:en': 'Qaryat Falhah', 'name:fr': 'Qaryat Falhah', 'place': 'village'}"
JOR-632B68275430-343B11419780-X-246146,Umm Shujayrah al Gharbīyah,"{'name': 'منشية السواري', 'place': 'village'}"
JOR-632B97166968-343B75273794-X-250450,Al Yārūt,"{'int_name': 'Al Yārūt; Al Yarut', 'is_in': 'Jordan, الأردن', 'name': 'الياروت', 'name:ar': 'الياروت', 'name:de': 'Al Yarut', 'name:en': 'Al Yarut', 'name:fr': 'Al Yarut', 'place': 'village'}"
JOR-632B97166968-343B76118434-X-12141396,Rujūm aḑ Ḑab‘,"{'is_in': 'Jordan, الأردن', 'name': 'منشية المزار', 'name:ar': 'منشية المزار', 'place': 'village'}"
JOR-632B48316240-343B14208622-X-11264489,Al Maydān,"{'name': 'الدهامشة', 'name:fr': 'Dehamsha', 'place': 'village'}"
JOR-632B97166968-343B52005080-X-247005,Samrā’,"{'name': 'سمرا', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-248539,Al Mashāri‘,"{'int_name': 'Khirbat ash Shaykh Muḩammad; Khirbat al Shaykh Muhammad', 'is_in': 'Jordan, الأردن', 'name': 'خربة الشيخ محمد', 'name:ar': 'خربة الشيخ محمد', 'name:de': 'Khirbat al Shaykh Muhammad', 'name:en': 'Khirbat al Shaykh Muhammad', 'name:fr': 'Khirbat al Shaykh Muhammad', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-248539,Al Mashāri‘,"{'name': 'الشيخ محمد', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-246498,Tuqbul,"{'int_name': 'Tuqbul', 'is_in': 'Jordan, الأردن', 'name': 'تقبت', 'name:ar': 'تُقبل', 'name:de': 'Tuqbul', 'name:en': 'Tuqbul', 'name:fr': 'Tuqbul', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-249151,Ḩawwārah,"{'int_name': 'Bushrá;Bushra', 'is_in': 'Jordan, الأردن', 'name': 'sal', 'name:ar': 'بشرى', 'name:de': 'Bushra', 'name:en': 'Bushra', 'name:fr': 'Bushra', 'place': 'village'}"
JOR-632B11138086-343B13317935-X-246358,Um El-Kindam,"{'int_name': 'Um el Kundum; Um al Kundum', 'is_in': 'Jordan, الأردن', 'name': 'أم الكندم', 'name:ar': 'أم الكندم', 'name:de': 'Um al Kundum', 'name:en': 'Um al Kundum', 'name:fr': 'Um al Kundum', 'place': 'village'}"
JOR-632B97166968-343B52005080-X-248923,‘Izrā,"{'name': 'الحوية', 'name:fr': 'Hawiya', 'place': 'village', 'wikidata': 'Q33770009'}"
JOR-632B77728443-343B93615180-X-11129624,Manshīyat Kafr Sawm,"{'name': 'منشية كفرسوم', 'place': 'village'}"
JOR-632B97166968-343B89723112-X-12141145,Jawzā ash Shamālīyah,"{'name': 'جوزا الشمالية', 'place': 'village'}"
JOR-632B98972752-343B93869049-X-250727,Buwayḑah al Gharbīyah,"{'int_name': 'Al Buwayḑā; Al Buwayda; Al Boweida', 'is_in': 'Jordan, الأردن', 'name': 'البويضة', 'name:ar': 'البويضة', 'name:de': 'Al Buwayda', 'name:en': 'Al Buwayda', 'name:fr': 'Al Buwayda', 'place': 'village'}"
JOR-632B67270147-343B92100815-X-7015882,Aş Şadaqah,"{'int_name': 'Dūsīl; Dusil', 'is_in': 'Jordan, الأردن', 'name': 'دوسيل', 'name:ar': 'دوسيل', 'name:de': 'Dusil', 'name:en': 'Dusil', 'name:fr': 'Dusil', 'place': 'village'}"
JOR-632B67270147-343B92100815-X-7015882,Aş Şadaqah,"{'int_name': 'Aş Şadaqah; Al Sadaqah', 'is_in': 'Jordan, الأردن', 'name': 'الصدقة', 'name:ar': 'الصدقة', 'name:de': 'Al Sadaqah', 'name:en': 'Al Sadaqah', 'name:fr': 'Al Sadaqah', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-249318,Ḩakamā,"{'name': 'مرو', 'place': 'village'}"
JOR-632B77728443-343B74111669-X-249318,Ḩakamā,"{'name': 'حكما', 'place': 'village'}"
JOR-632B98972752-343B93869049-X-247263,Umm an Na‘ām ash Sharqīyah,"{'int_name': 'Rujm Sab‘;Rujm Sab', 'is_in': 'Jordan, الأردن', 'name': 'رجم السبع', 'name:ar': 'رجم السبع', 'name:de': ""Rujm Sabe'"", 'name:en': ""Rujm Sabe'"", 'name:fr': 'Rujm Sabe', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'int_name': 'El Jasūra; Al Jasura', 'is_in': 'Jordan, الأردن', 'name': 'الجسورة', 'name:ar': 'الجسورة', 'name:de': 'Al Jasura', 'name:en': 'Al Jasura', 'name:fr': 'Al Jasura', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'int_name': 'Khirbat Shaykh ‘Ulayyān; Khirbat Shaykh Ulayyan; Khirbat Sheikh Ulaiyan', 'is_in': 'Jordan, الأردن', 'name': 'خربة شيخ عليان', 'name:ar': 'خربة شيخ عليان', 'name:de': 'Khirbat Shaykh Ulayyan', 'name:en': 'Khirbat Shaykh Ulayyan', 'name:fr': 'Khirbat Shaykh Ulayyan', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'int_name': 'Qilā‘āt; Qilaat', 'is_in': 'Jordan, الأردن', 'name': 'قلاعات', 'name:ar': 'قلاعات', 'name:de': 'Qilaat', 'name:en': 'Qilaat', 'name:fr': 'Qilaat', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'name': 'تل الاربعين', 'place': 'village'}"
JOR-632B77728443-343B53886185-X-250646,Ash Shaykh Ḩusayn,"{'name': 'الشيخ حسين قرية', 'place': 'village'}"
JOR-632B77728443-343B42604954-X-245844,Zūbiyā,"{'int_name': 'Zūbiyā; Zubiya', 'is_in': 'Jordan, الأردن', 'name': 'زوبيا', 'name:ar': 'زوبيا', 'name:de': 'Zubiya', 'name:en': 'Zubiya', 'name:fr': 'Zubiya', 'place': 'village'}"
JOR-632B77728443-343B93615180-X-248719,Kafr Sawm,"{'int_name': 'Kufr as Sawm; Kufr al Sawm; Kufr Som', 'is_in': 'Jordan, الأردن', 'name': 'كفر سوم', 'name:ar': 'كفر سوم', 'name:de': 'Kufr al Sawm', 'name:en': 'Kufr al Sawm', 'name:fr': 'Kufr al Sawm', 'place': 'village'}"
