key,originalName,tags
NPL-275B17766335-121B30623452-248B32390124-7945451,Baigaun,"{'households': '150', 'name': 'Bhotgaun Kalika', 'place': 'village', 'population': '900', 'source': 'yil2020'}"
NPL-275B99974579-121B99733197-248B63527675-7939367,Majhkhuri,"{'name': 'Majhkhuri', 'place': 'hamlet'}"
NPL-275B3223679-121B5638642-248B10582079-7995239,Pipaldanda,{'place': 'hamlet'}
NPL-275B3223679-121B5638642-248B10582079-7995239,Pipaldanda,{'place': 'hamlet'}
NPL-275B3223679-121B5638642-248B10582079-7995239,Pipaldanda,{'place': 'hamlet'}
NPL-275B3223679-121B5638642-248B10582079-7995239,Pipaldanda,"{'name': 'Pipaldanda', 'place': 'hamlet', 'wikidata': 'Q3411450', 'wikipedia': 'en:Pipaldanda'}"
NPL-275B3223679-121B5638642-248B10582079-7995239,Pipaldanda,"{'name': 'Sanusirubari', 'place': 'hamlet'}"
NPL-275B3223679-121B5638642-248B10582079-7995239,Pipaldanda,"{'name': 'Pipaldanda', 'name:ne': 'पिपलडाडा', 'place': 'village'}"
NPL-275B3223679-121B85483943-248B81517068-1283005,Nāgāũ,"{'name': 'Na', 'name:en': 'Na', 'place': 'hamlet', 'source': 'survey october 2017'}"
NPL-275B99974579-121B99733197-248B78996105-7940055,Dandapatu,"{'name': 'शिवनगर', 'name:en': 'Shiva Nagar', 'name:ne': 'शिवनगर', 'place': 'hamlet'}"
NPL-275B13798742-121B87882891-248B37570925-7956880,Pakiya Prasad,"{'name': 'Kauwakheda', 'place': 'village'}"
NPL-275B13798742-121B87882891-248B37570925-7956880,Pakiya Prasad,"{'hazard': 'flood', 'name': 'Duduwaphata', 'place': 'village'}"
NPL-275B13798742-121B87882891-248B37570925-7956880,Pakiya Prasad,"{'hazard': 'flood', 'name': 'Flood Prone Area, Pagiyaprasar', 'place': 'village'}"
NPL-275B17766335-121B12715317-248B77039835-1282756,Sorūkot,"{'name': 'Dhupirukh', 'place': 'village'}"
NPL-275B17766335-121B12715317-248B77039835-1282756,Sorūkot,"{'name': 'Soru Barma', 'place': 'village'}"
NPL-275B17766335-121B12715317-248B77039835-1282756,Sorūkot,"{'name': 'Natharpu', 'place': 'village'}"
NPL-275B17766335-121B12715317-248B77039835-1282756,Sorūkot,"{'name': 'Jogee Bada Gaun', 'place': 'village'}"
NPL-275B61643740-121B73866999-248B41242793-7948014,Bihi,"{'name': 'Bihi', 'place': 'hamlet', 'source': 'www.geonames.org', 'website': 'http://www.geonames.org/7948014/bihi.html', 'wikidata': 'Q3413197', 'wikipedia': 'en:Bihi'}"
NPL-275B61643740-121B73866999-248B41242793-7948014,Bihi,"{'name': 'Bihi', 'name:ne': 'बिही', 'place': 'village'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Philim', 'place': 'village'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Jagat', 'place': 'village'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'ele': '2300', 'name': 'Nyak', 'place': 'village'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Jagat Bagar', 'place': 'hamlet'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Lokpha', 'place': 'hamlet'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Chumchet', 'name:ne': 'चुमचेट', 'place': 'village'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Ekle Bhatti', 'place': 'hamlet'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Saglet', 'place': 'hamlet'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Ghatte Khola', 'place': 'hamlet'}"
NPL-275B61643740-121B73866999-248B10432823-7949668,Lhakpa,"{'name': 'Ripchet', 'place': 'village'}"
NPL-275B3223679-121B17728746-248B12508861-7993352,Banjgaun,"{'name': 'Telani', 'place': 'hamlet'}"
NPL-275B13798742-121B94056692-248B42022821-7992490,Sheli,"{'name': 'Khukuridhar', 'place': 'village'}"
NPL-275B13798742-121B94056692-248B42022821-7992490,Sheli,"{'name': 'Sundarakhali', 'place': 'village'}"
NPL-275B61643740-121B48278102-248B52656349-7960641,Dhungekhola Pakha,"{'name': 'Chisakhola Basti', 'place': 'hamlet'}"
NPL-275B61643740-121B48278102-248B52656349-7960641,Dhungekhola Pakha,"{'name': 'Adarsha Basti', 'place': 'hamlet'}"
NPL-275B61643740-121B48278102-248B52656349-7960641,Dhungekhola Pakha,"{'name': 'Dhunge Khola', 'place': 'hamlet'}"
NPL-275B61643740-121B48278102-248B52656349-7960641,Dhungekhola Pakha,"{'name': 'Lovely Hill', 'place': 'hamlet'}"
NPL-275B3223679-121B16838935-248B68130217-7981653,Manthali Bhanjyang,"{'capital': '5', 'name': 'Manthali', 'name:ja': 'マンタリ', 'place': 'town', 'wikidata': 'Q7129748'}"
NPL-275B61643740-121B96655681-248B3431197-11767348,Karaṅswā̃rā,"{'name': 'Chitrebhanjyang', 'name:ne': 'चित्रे भञ्ज्याङ', 'place': 'village', 'population': '4018', 'wikidata': 'Q3412280', 'wikipedia': 'en:Chitre Bhanjyang'}"
NPL-275B99974579-121B40371994-248B42840096-7976047,Khobtar Phant,"{'name': 'Darchha', 'name:ne': 'दर्छा', 'place': 'hamlet', 'population': '7565', 'wikidata': 'Q13182198', 'wikipedia': 'en:Darchha'}"
NPL-275B3223679-121B615949-248B55308155-7941641,Khatigaun,{'place': 'hamlet'}
NPL-275B17766335-121B70249434-248B64377521-7951292,Hildum,"{'is_in:municipality': 'Simikot', 'is_in:ward': '4', 'name': 'Hildum', 'place': 'hamlet', 'source': 'Naxa'}"
NPL-275B13798742-121B4146394-248B99805486-7970528,Kerda,"{'name': 'Kerada', 'place': 'village'}"
