key,originalName,tags
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'is_in': 'Mtwara, Tanzania', 'name': 'Nanyumbu', 'place': 'village'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Mitumbati', 'place': 'village', 'region': 'Mtwara', 'ward': 'Mkonona'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Nanderu', 'place': 'village', 'region': 'Mtwara', 'ward': 'Nanyumbu'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Namijati', 'place': 'village', 'region': 'Mtwara', 'ward': 'Mkonona'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Njisa', 'place': 'village', 'region': 'Mtwara', 'ward': 'Mkonona'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Makanya', 'place': 'village', 'region': 'Mtwara', 'ward': 'Nanyumbu'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Mkuula', 'place': 'village', 'region': 'Mtwara', 'ward': 'Nanyumbu'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Chungu', 'place': 'village', 'region': 'Mtwara', 'ward': 'Nanyumbu'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Lukwika', 'place': 'village', 'region': 'Mtwara', 'ward': 'Masuguru'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Maduguru', 'place': 'village', 'region': 'Mtwara', 'ward': 'Masuguru'}"
TZA-189B90926410-352B87219089-294B95967957-877406,Sengwa,"{'country': 'Tanzania', 'district': 'Nanyumbu', 'name': 'Lukula', 'place': 'village', 'region': 'Mtwara', 'ward': 'Masuguru'}"
TZA-189B31726059-352B48804615-294B26105746-153631,Mkasu,"{'country': 'Tanzania', 'district': 'Ulanga', 'name': 'Mabanda', 'place': 'village', 'region': 'Morogoro', 'ward': 'Ngoheranga'}"
TZA-189B31726059-352B48804615-294B26105746-153631,Mkasu,"{'country': 'Tanzania', 'district': 'Ulanga', 'name': 'Ihowanja', 'place': 'village', 'region': 'Morogoro', 'ward': 'Ngoheranga'}"
TZA-189B34063425-352B65873920-294B23750034-160708,Campi ya Simba,"{'name': 'Kambi ya Simba', 'place': 'village', 'population': '782', 'source': 'OpenData-NBS2012-HealthFacilities2014'}"
TZA-189B34063425-352B65873920-294B23750034-160708,Campi ya Simba,"{'name': 'Butu', 'place': 'village', 'population': '1049', 'source': 'OpenData-NBS2012-HealthFacilities2014'}"
TZA-189B90284122-352B53162750-294B4485120-161344,Ambangulu,"{'country': 'Tanzania', 'district': 'Korogwe', 'name': 'Welei', 'place': 'village', 'region': 'Tanga', 'ward': 'Lutindi'}"
TZA-189B92533122-352B86268444-294B90660214-156611,Kizimbani,"{'name': 'Kizimbani', 'place': 'village', 'source': 'Africover - Towns (other towns)'}"
TZA-189B7109962-352B43825913-294B17231768-150516,Rubafu,"{'name': 'Rubafu', 'place': 'village', 'source': 'GNS, Bing'}"
TZA-189B7109962-352B43825913-294B17231768-150516,Rubafu,"{'is_in:ward': 'Rubafu', 'name': 'Katale', 'place': 'village', 'population': '1719', 'source': 'OSM-NBS2012'}"
TZA-189B7109962-352B43825913-294B17231768-150516,Rubafu,"{'is_in:ward': 'Kishanje', 'name': 'Bumai', 'place': 'village', 'population': '2571', 'source': 'OSM-NBS2012'}"
TZA-189B7109962-352B43825913-294B17231768-150516,Rubafu,"{'country': 'Tanzania', 'district': 'Bukoba Rural', 'name': 'Kishanje', 'place': 'village', 'region': 'Kagera', 'ward': 'Kyamulaile'}"
TZA-189B7109962-352B7142206-294B90877846-153931,Migege,"{'is_in': 'Kagera, Tanzania', 'name': 'Nyamigogo', 'place': 'village'}"
TZA-189B7109962-352B7142206-294B90877846-153931,Migege,"{'country': 'Tanzania', 'district': 'Biharamulo', 'name': 'Kasozibakaya', 'place': 'village', 'region': 'Kagera', 'ward': 'Nyamigogo'}"
TZA-189B7109962-352B7142206-294B90877846-153931,Migege,"{'country': 'Tanzania', 'district': 'Biharamulo', 'name': 'Kagoma', 'place': 'village', 'region': 'Kagera', 'ward': 'Nyamigogo'}"
TZA-189B92061966-352B46491208-294B86549093-160057,Engassumet,"{'name': 'Mvungwe', 'place': 'village', 'source': 'Africover - Towns (other towns)'}"
TZA-189B92061966-352B46491208-294B86549093-160057,Engassumet,{'place': 'hamlet'}
TZA-189B92061966-352B46491208-294B86549093-160057,Engassumet,"{'is_in': 'Manyara, Tanzania', 'name': 'Orkesumet', 'place': 'village', 'wikidata': 'Q13124615', 'wikipedia': 'en:Orkesumet'}"
TZA-189B92061966-352B46491208-294B86549093-160057,Engassumet,"{'country': 'Tanzania', 'district': 'Simanjiro', 'name': 'Lobosoit B', 'place': 'village', 'region': 'Manyara', 'ward': 'Liborsoit'}"
