key,en,ne,dz
BTN-467B78139670-894B95782047-X-7647496,Kanglung,,
BTN-467B78139670-894B62916564-X-1337375,Radi,,
BTN-467B28866859-894B7586237-X-1252427,Taripe,,
BTN-467B96353208-894B20308957-X-1337389,Laya,,
BTN-467B24431571-894B21972278-X-1337299,Lingshi,,
BTN-467B74057529-894B3220370-X-1252419,Tendu,,
BTN-467B74057529-894B56595886-X-7645265,Samtse,,
BTN-467B78139670-894B44254025-X-1252468,Sakteng,,
BTN-467B28711724-894B22080857-X-1337356,Panbang,Pangkhar,Pangkhar
BTN-467B35000714-894B22045335-X-11670039,Kungarapten,,
BTN-467B78139670-894B93177514-X-1337378,Wamrong,,
BTN-467B6857852-894B89021099-X-7701319,Autsho,,
