key,en,am,so
ETH-566B76784922-737B3849931-843B85980479-339602,Degan,,
ETH-566B11635291-737B89614271-843B38778178-331132,Melca Daboch,,
ETH-566B76551908-737B49525838-843B12158294-331106,Melka Chireti,Chireti; Cherti; Cherti; Malca Chiratti; Malka Chiratti,Chireti; Cherti; Cherti; Malca Chiratti; Malka Chiratti
ETH-566B95500806-737B44562018-843B56297539-336945,Gendebta,,
ETH-566B76784922-737B3849931-843B85980479-333373,Kombolcha,,
ETH-566B94683490-737B86115440-843B92296640-341867,Bofa,,
ETH-566B76784922-737B6310719-843B31203716-337856,Felege Birhan,,
ETH-566B94683490-737B29534394-843B10781291-335529,Gura,,
ETH-566B98245203-737B59838990-843B24707927-331557,Marai,,
ETH-566B95500806-737B86961095-843B91323981-328476,Shugala,,
ETH-566B94683490-737B79722001-843B88609325-329607,Robe,ነጩን,ሮቤ (ባሌ-ሮቤ)
ETH-566B95500806-737B86961095-843B73717171-336518,Gijet,,
ETH-566B94683490-737B86115440-843B56303956-341484,Bulbula,,
