key,en,ar
SDN-942B91082353-658B282942-X-377803,Banagelada,
SDN-942B89754425-658B47621584-X-375046,Gebeit,Jabēt;Jabet
SDN-942B53073919-658B95748812-X-7029110,Karmal,كرمل
SDN-942B86275988-658B5901406-X-367633,Sāq an Na‘ām,ساق النعام
SDN-942B11096066-658B16705481-X-6991863,Hillat al Hajab,هلّة الهجب
SDN-942B51960613-658B15786683-X-380534,Abuser,أبو سير
SDN-942B6749338-658B2878490-X-364063,Wad Sa‘īd,ود سعيد
SDN-942B53073919-658B21898088-X-371008,Ma‘agalab,معغألب
SDN-942B53073919-658B95748812-X-365208,Um Dam,أم دم
SDN-942B69992162-658B74043765-X-364681,Umm Sanţah,أمّ سنطة
SDN-942B82453041-658B53777192-X-363513,Zarāfah,زرافة
SDN-942B97552203-658B36248286-X-375954,Eina,
SDN-942B6749338-658B87167729-X-369929,Mograkka East,
SDN-942B97552203-658B67351362-X-372266,Kokudu,كوكد
SDN-942B90817386-658B3360231-X-373114,Kagnarti,كغنرت
SDN-942B11096066-658B16705481-X-6991924,Hillat Kiday,هلّة كدي
SDN-942B11096066-658B55709038-X-366303,Al Mahas Tayba,المهس تيب
SDN-942B80268870-658B60481889-X-444037,El Foqara,El Foqara
SDN-942B86275988-658B7364354-X-8148604,Bireikat Babullah,
SDN-942B51960613-658B15336674-X-368050,Riqqah,رقّة
SDN-942B80268870-658B60481889-X-373909,Hawsh al Khawajah,هوش الخوجة
SDN-942B69992162-658B37119158-X-373734,Ḩulaylah,حليلة
SDN-942B80268870-658B14038138-X-380185,Ad Dabbūrah,الدبّورة
SDN-942B11096066-658B38962047-X-380940,Abū Durays,أبو دريس
SDN-942B80268870-658B49744868-X-443896,Qandato,قندتو
SDN-942B51960613-658B15786683-X-6983283,Qireji,Qireji
SDN-942B53073919-658B51731802-X-7025994,Aj Ji‘eba,Aj Ji‘eba
SDN-942B53073919-658B21898088-X-379011,Al Quwayz,القويز
SDN-942B90817386-658B87713627-X-7024902,Banat,بنت
